seller-sku	asin1	item-name	item-description	price	status	minimum-seller-allowed-price	maximum-seller-allowed-price
01.2509.3920-FBA	B084KNXH5H	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 220cm - Ahi		124.98	Active	124.0	124.99
01.2509.3922-FBM	B084KLYC6B	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Ahi		124.98	Active	124.0	124.99
01.2509.3931-FBM	B084KQ5KMF	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Seaglass		124.98	Active	124.0	124.99
01.2509.3935-FBA	B084KLMK47	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 220cm - Photic		124.98	Active	124.0	124.99
01.2509.3946-FBM	B084L2999D	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - Black Cherry		124.98	Active	124.0	124.99
01.2509.4030-FBA	B084KGJ5K3	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm -Sunrise		89.99	Active		
01.2509.4030-FBM	B084KGJ5K3	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm -Sunrise		89.99	Active		
01.2509.4031	B084KQFSXR	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm - Black Cherry		95.78	Active	56.83	114.99
01.2509.4033-FBM	B084KQNWTF	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm - Surf		94.99	Active		
01.2509.4034-FBA	B084KN9QNM	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm -Seaglass		79.13	Active	62.48	114.99
01.2509.4035-FBA	B084KL92QN	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm - Ahi		83.28	Active	62.48	114.99
01.2509.4060-FBM	B084KNXH59	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Sunrise		94.99	Active		
01.2509.4061	B084KS3BPS	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Black Cherry		83.28	Active	61.18	114.99
01.2509.4061-FBM	B084KS3BPS	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Black Cherry		83.28	Active	61.18	114.99
01.2509.4062-FBM	B084KXM3FV	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Photic		74.96	Active	62.41	114.99
01.2509.4063	B084KQNWTS	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Surf		99.99	Active		
01.2509.4063-FBM	B084KQNWTS	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Surf		99.99	Active		
01.2509.4064-FBM	B084KY965J	Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Seaglass		79.13	Active	62.48	114.99
01.2509.4065-FBM	B084KV6QB4	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Ahi		99.99	Active		
01.2509.4070-FBA	B084KTSY7T	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Camo		144.98	Active	144.0	144.99
01.2509.4070-FBM	B084KTSY7T	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Camo		144.98	Active	144.0	144.99
01.2509.4071-FBM	B084KGJJG2	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Camo		144.98	Active	144.0	144.99
01.2509.4072	B084KHDRL6	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - Camo		129.99	Active		
01.2509.4072-FBM	B084KHDRL6	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - Camo		144	Active	144.0	144.99
01.2509.4073	B084KQFSYM	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 260cm - Camo		144.99	Active		
01.2509.4073-FBM	B084KQFSYM	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 260cm - Camo		144.98	Active	144.0	144.99
01.2509.4074-FBA	B084KV7Q5R	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - First Light		144.98	Active	144.0	144.99
01.2509.4074-FBM	B084KV7Q5R	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - First Light		144.98	Active	144.0	144.99
01.2509.4075	B084KHDRL4	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - First Light		144	Active	144.0	144.99
01.2509.4075-FBA	B084KHDRL4	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - First Light		110.78	Active	88.75	144.99
01.2509.4076	B084KV6QBD	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - First Light	Designed for kayak anglers, the Carlisle Magic Angler is a lightweight, efficient and powerful paddle, with angler specific features. The asymmetrical, slightly curved blade shape, combined with a lightweight, flexible fiberglass shaft produces smooth yet powerful strokes. A cutout in the blade is used to free snagged hooks and the ruler on the shaft can be used to measure your catch!<br>Features:<br>Anglers will appreciate the J-notch cutout in the blade to free snagged lines and hooks<br>Ensure bragging rights when you measure your fish on the imperial/metric rule printed on the shaft<br>Glass-filled polypropylene blades are both lightweight and durable<br>Asymmetrical, slightly curved blade shape produces smooth, efficient strokes<br>Wrapped fiberglass shaft is lightweight yet strong; and more comfortable to hold in hot or cold temperatures<br>Ovalized shaft indexes the proper grip area<br>No-fail push-button take down allow blades to be feathered at 60-degrees or set inline, for right or left-handed control<br>Two-piece design for compact transport and storage<br>Rubber drip rings help to keep hands and legs dry while paddling<br>	110.78	Active	88.79	144.99
01.2509.4078-FBA	B084KV6QBF	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Photic		144.98	Active	144.0	144.99
01.2509.4078-FBM	B084KV6QBF	Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Photic		144.98	Active	144.0	144.99
01.2509.4079-FBM	B084KQFSYL	Carlisle Paddles Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Photic		110.78	Active	88.79	144.99
01.2509.4080	B084KRDC5P	Carlisle Paddles Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - Photic	Designed for kayak anglers, the Carlisle Magic Angler is a lightweight, efficient and powerful paddle, with angler specific features. The asymmetrical, slightly curved blade shape, combined with a lightweight, flexible fiberglass shaft produces smooth yet powerful strokes. A cutout in the blade is used to free snagged hooks and the ruler on the shaft can be used to measure your catch!<br>Features:<br>Anglers will appreciate the J-notch cutout in the blade to free snagged lines and hooks<br>Ensure bragging rights when you measure your fish on the imperial/metric rule printed on the shaft<br>Glass-filled polypropylene blades are both lightweight and durable<br>Asymmetrical, slightly curved blade shape produces smooth, efficient strokes<br>Wrapped fiberglass shaft is lightweight yet strong; and more comfortable to hold in hot or cold temperatures<br>Ovalized shaft indexes the proper grip area<br>No-fail push-button take down allow blades to be feathered at 60-degrees or set inline, for right or left-handed control<br>Two-piece design for compact transport and storage<br>Rubber drip rings help to keep hands and legs dry while paddling<br>	144	Active	144.0	144.99
01.2509.4091-FBM	B084L2PKJR	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Black Cherry		99.99	Active		
01.2509.4092-FBM	B084KS3BPP	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Photic		99.99	Active		
01.2509.4093-FBA	B084KGJJFN	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Surf		114	Active	114.0	114.99
01.2509.4093-FBM	B084KGJJFN	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Surf		99.99	Active		
01.2509.4094	B084KS3BPQ	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Seaglass		99.99	Active		
01.2509.4095-FBA	B084KTSY7B	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Ahi		114	Active	114.0	114.99
01.2509.4095-FBM	B084KTSY7B	Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Ahi		99.99	Active		
01.4064.0101	B085J1NB3X	Old Town Sportsman 106 Powered by Minn Kota Motorized Fishing Kayak (Photic Camo)		3499.99	Active		
01.4064.0103	B085J29JG1	Old Town Sportsman 106 Powered by Minn Kota Motorized Fishing Kayak (Ember Camo)		3499.99	Active		
01.4064.0107	B0CP6CWCJC	Old Town Sportsman 106 Powered by Minn Kota Motorized Fishing Kayak (Marsh Camo)		3499.99	Active		
01.4064.0109	B0CP69P72B	Old Town Sportsman 106 Powered by Minn Kota Motorized Fishing Kayak (Steel Camo)		3499.99	Active		
01.4065.0101	B085J1F1WF	Old Town Sportsman AutoPilot 120 Motorized Fishing Kayak with Minn Kota Trolling Motor (Photic Camo)		4499.99	Active		
01.4065.0103	B085J1C25H	Old Town Sportsman AutoPilot 120 Motorized Fishing Kayak with Minn Kota Trolling Motor (Ember Camo)		4499.99	Active		
01.4065.0107	B0CP6BY19L	Old Town Sportsman AutoPilot 120 Motorized Fishing Kayak with Minn Kota Trolling Motor (Marsh Camo)		4499.99	Active		
01.4065.0109	B0CP6B2SFW	Old Town Sportsman AutoPilot 120 Motorized Fishing Kayak with Minn Kota Trolling Motor (Steel Camo)		4499.99	Active		
01.4066.0103	B085J2CP53	Old Town Sportsman AutoPilot 136 Motorized Fishing Kayak with Minn Kota Trolling Motor (Ember Camo)		4999.99	Active		
01.4066.0107	B0CP6B7WF5	Old Town Sportsman AutoPilot 136 Motorized Fishing Kayak with Minn Kota Trolling Motor (Marsh Camo)		4999.99	Active		
01.4066.0109	B0CP6B9SMP	Old Town Sportsman AutoPilot 136 Motorized Fishing Kayak with Minn Kota Trolling Motor (Steel Camo)		4999.99	Active		
01.4067.0101	B0CPFYCQYP	Old Town Sportsman BigWater ePDL+ 132 Power Assist Pedal Fishing Kayak Marsh Camo		5999.99	Active		
01.4067.0103	B0CPGB4CQG	Old Town Sportsman BigWater ePDL+ 132 Power Assist Pedal Fishing Kayak Ember Camo		5999.99	Active		
01.4067.0105	B0CPGDT6P9	Old Town Sportsman BigWater ePDL+ 132 Power Assist Pedal Fishing Kayak Steel Camo		5999.99	Active		
01.4071.0101	B085JKC34J	Old Town Sportsman PDL 120 Pedal Fishing Kayak (Photic Camo)		2899.99	Active		
01.4071.0103	B085JK7D4M	Old Town Sportsman PDL 120 Pedal Fishing Kayak (Ember Camo)		2899.99	Active		
01.4071.0107	B0CLV1Y2RX	Old Town Sportsman PDL 120 Pedal Fishing Kayak (Marsh Camo)		2899.99	Active		
01.4071.0109	B0CLTYX9DN	Old Town Sportsman PDL 120 Pedal Fishing Kayak (Steel Camo)		2899.99	Active		
01.4072.0101	B085JKC34X	Old Town Sportsman PDL 106 Pedal Fishing Kayak (Photic Camo)		2599.99	Active		
01.4072.0103	B085JJZQ31	Old Town Sportsman PDL 106 Pedal Fishing Kayak (Ember Camo)		2599.99	Active		
01.4072.0107	B0CLV12DWT	Old Town Sportsman PDL 106 Pedal Fishing Kayak (Marsh Camo)		2599.99	Active		
01.4072.0109	B0CLTZ5HCG	Old Town Sportsman PDL 106 Pedal Fishing Kayak (Steel Camo)		2599.99	Active		
01.4073.0101	B085JKC9JM	Old Town Sportsman Salty PDL 120 Pedal Fishing Kayak (Photic Camo)		2599.99	Active		
01.4073.0103	B085JKB187	Old Town Sportsman Salty PDL 120 Pedal Fishing Kayak (Ember Camo)		2599.99	Active		
01.4073.0109	B0CLV1MQRM	Old Town Sportsman Salty PDL 120 Pedal Fishing Kayak (Steel Camo)		2599.99	Active		
01.4074.0101	B085K32J4R	Old Town Sportsman BigWater PDL 132 Pedal Fishing Kayak (Photic Camo)		2999.99	Active		
01.4074.0103	B085JQXWCM	Old Town Sportsman BigWater PDL 132 Pedal Fishing Kayak (Ember Camo)		2999.99	Active		
01.4074.0105	B08JHC1KFH	Old Town Sportsman BigWater PDL 132 Pedal Fishing Kayak (Marsh Camo)		2999.99	Active		
01.4074.0109	B0CLTZ35RL	Old Town Sportsman BigWater PDL 132 Pedal Fishing Kayak (Steel Camo)		2999.99	Active		
01.5527.0116	B07MKSGF6H	Old Town Loon 126 Recreational Kayak (Photic, 12 Feet 6 Inches)		1299.99	Active	0.0	
01.6210.0100	B0755M3VTB	Old Town Canoes & Kayaks Sorrento 106SK Recreational Kayak (Black Cherry, 10 Feet 6 Inches)		999.99	Active	0.0	
01.6210.0102	B0755MMTT9	Old Town Canoes & Kayaks Old Town Sorrento 106SK Recreational Kayak (Sunrise, 10 Feet 6 Inches), red/Yellow		999.99	Active	0.0	
01.6210.0108	B07ZHFZXRS	Old Town Sorrento 106sk Kayak - 2022 Photic, 10ft 3in	The Old Town Sorrento is a day touring kayak that features a drop-down skeg to help you track like an arrow, and it can be pulled up for more maneuverability in shallow waters. Its versatility makes it perfect for the beginner or intermediate paddler. The Sorrento 106sk has generous legroom and features the ACS2 Seat, the most comfortable seat you’ll find in a kayak.	999.99	Active	0.0	
01.6220.0100	B075517K38	Old Town Canoes & Kayaks Sorrento 126SK Recreational Kayak (Black Cherry, 12 Feet 6 Inches)		1099.99	Active	0.0	
02-4142-11	B07P3M4Y9J	RAILBLAZA Fish Finder R-Lock Mount for Hook2 Adaptor Models, Compatible StarPort Bases for Kayaks and Boats		43.99	Active		
03-4044-11	B018REHMI8	Railblaza CLEATPORT (BLACK)		17.99	Active		
06-0016	B076G3CQKH	Backwater 06-0016 Assassin Full Paddle Carbon Hybrid - 90.5" to 94.5" Length, Black		159.99	Active		
08-0081-11	B09J9YF8T1	RAILBLAZA Fish Finder Mount for Kayak with Track Mount Base (Square)		48.99	Active		
08-0083-11	B09JBB6QPF	RAILBLAZA Fish Finder Mount for Kayaks and Boats with Track Mount Base, Compatible with Garmin, Lowrance, Humminbird and More		48.99	Active		
10777-2095-30	B0CCF3VG5X	Simms Men's Coldweather Long Sleeve Shirt - Cutty Red Asym Ombre Plaid - Medium		134	Active	134.0	134.99
10777-2095-40	B0CCF18M17	Simms Men's Coldweather Long Sleeve Shirt - Cutty Red Asym Ombre Plaid - Large		134	Active	134.0	134.99
10777-2095-50	B0CCF3V5JR	Simms Men's Coldweather Long Sleeve Shirt - Cutty Red Asym Ombre Plaid - Extra Large		134	Active	134.0	134.99
1266	B00QMSTZRI	Rescue Steps - For Duck Hunting, Jon Boats, Aluminum Skiff - Permanent or Emergency Ladder, Yellow		72.99	Active		
13-4144-11	B00G3848EC	RAILBLAZA Adjustable Extender		27	Active	27.0	27.99
13077-01	B0CC6QBLWW	G. Loomis NRX+ Inshore, Inshore, 7'0", Medium Heavy, 1 pcs, (13077-01) Fishing		624.99	Active	624.0	625.0
13180-129-10	B08PL7XJTB	Simms Fishing Products Women's Isle Long Sleeve Shirt, Tumbling Flies Steel Blue, X-Small		69.95	Active		
13268-030-09	B0CB1SZN6C	Simms Men's Steel Water Shoe, Grey, 9		199.95	Active	199.0	199.99
13493-071-W30	B09L8MQVHQ	Simms Men's Skiff Shorts, UPF 50 Lightweight Fishing Gear, 9-Inch Inseam, Storm, Size 30 Waist		69.96	Active	69.0	69.99
13493-071-W32	B09L8LD7C6	Simms Men's Skiff Shorts, UPF 50 Lightweight Fishing Gear, 9-Inch Inseam, Storm, Size 32 Waist		69.99	Active	69.0	69.99
13493-741-W30	B09L8ND6N4	Simms Men's Skiff Shorts, UPF 50 Lightweight Fishing Gear, 9-Inch Inseam, Sandbar, Size 30 Waist		49.95	Active		
13546-001-00	B0B2FJNYMR	Simms Freestone Nipper - Fly Fishing Line Cutters, Clippers for Monofilament Line and Tippet, Black - One Size		24.94	Active	24.0	24.99
13574-1054-60	B0BN4KK4VL	Simms Men's Splash Cast Jacket - Bright Blue - XXLarge		329.95	Active		
13658-2003-60	B0BN4N1DJS	Simms Solarflex UPF 50+ Shirt, Sun Protection Hoodie - Regiment Camo Cinder - XX-Large		79.19	Active	79.0	79.99
1511813	B08LMW76C6	Hardy HROZPRO906 Zane Pro Rod 9'		950	Active		
1513749	B08LMN9QF5	Hardy HREZANCA010 Zane Carbon Reel WF8+200 (20lb Dacron)		449.99	Active	449.0	450.0
1513750	B08LMMXTZW	Hardy HREZANCA020 Zane Carbon Reel WF9+240 (30lb Dacron)		495	Active	494.0	495.0
1513751	B08LN2GZ92	Hardy HREZANCA030 Zane Carbon Reel WF10+240 (30lb Dacron)		550	Active	549.0	550.0
1521772	B08DDD1RS1	Fenwick AETOS Fly Fishing Rod Grey, 6'6" - 4wt - 4pc		225.95	Active		
1546672	B09LHW48ST	Greys Fin Fly Reel, Size 9/10, Features Cutting Edge Design and Precision Manufacturing, Full Disc Drag System, Includes Reel Pouch		99.94	Active	99.0	99.99
1546692	B09LHVZ44K	Greys Tail AW Fly Reel, Size 9/10, Freshwater and Saltwater, Features Cutting Edge Design and Precision Manufacturing, Full Disc Drag System, Includes Reel Pouch		159.94	Active	159.0	159.99
1564969	B0C1ZSGD1N	Hardy Fortuna Regent Fly Reel (Grey Silver, 10000 (9/10/11))		849.99	Active	849.0	850.0
1564970	B0C1ZRLD8P	Hardy Fortuna Regent Fly Reel (Grey Silver, 12000 (11+))		949.99	Active	949.0	950.0
1571755	B0BLTC4YCM	Greys Wing Salt Fly Fishing Rod		419.94	Active	419.0	419.99
1571756	B0BLTCP8HM	Greys Wing Salt Fly Fishing Rod		429.94	Active	429.0	429.99
1571757	B0BLTC4SWT	Greys Wing Salt Fly Fishing Rod		439.94	Active	439.0	439.99
1571758	B0BLT8PYJ6	Greys Wing Salt Fly Fishing Rod		449.94	Active	449.0	449.99
1571759	B0BLTD73R2	Greys Wing Salt Fly Fishing Rod		459.94	Active	459.0	459.99
1571760	B0BLTCDJ26	Greys Wing Salt Fly Fishing Rod		469.94	Active	469.0	469.99
1577676	B0C1ZRYPT5	Hardy Fortuna Regent Fly Reel (Black, 8000 (7/8/9))		749.99	Active	749.0	750.0
210000033919	B0B25TW9LC	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman 106 PDL Kayak, Old Town Sportsman 120 PDL Kayak, Old Town Sportsman Salty PDL Kayak	Don’t get stuck up !%@*!? creek without a paddle! (or a part). The Old Town Sportsman 106/120/Salty PDL Replacement Parts Kit contains everything you’ll need to have your Sportsman 106/120/Salty PDL up and fishing no matter what might happen. Keep all of your key replacement parts on hand for when you need it most, the day you want to fish or worse; while on the water. This Old Town Sportsman 106/120/Salty PDL Replacement Parts Kit Contains The Following Genuine Old Town Replacement Parts: (1) - Propeller Kit (prop, wingnut, washer, and 2 shear pins) (1) - Lock Knob Kit (1) - Rear Skid Plate (1) - Drain Plug (1) - Seat Shuttle (4) - Short Scupper Plugs/Valves (1) - Paddle Strap (1) - Paddle Clip	94.99	Active		
210000033919-FBA	B0B25TW9LC	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman 106 PDL Kayak, Old Town Sportsman 120 PDL Kayak, Old Town Sportsman Salty PDL Kayak		94.99	Active		
210000033920	B0B324KKRR	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman Big Water PDL Kayak	Don’t get stuck up !%@*!? creek without a paddle! (or a part) The Old Town Sportsman Big Water PDL Replacement Parts Kit contains everything you’ll need to have your Sportsman Big Water PDL up and fishing no matter what might happen. Keep all of your key replacement parts on hand for when you need it most, the day you want to fish or worse; while on the water. This Old Town Sportsman Big Water PDL Replacement Parts Kit Contains The Following Genuine Old Town Replacement Parts: (1) - Propeller Kit (prop, wingnut, washer, and 2 shear pins) (1) - Lock Knob Kit (1) - Rear Skid Plate (1) - Drain Plug (1) - Seat Shuttle (4) - Short Scupper Plugs/Valves (1) - Paddle Strap (1) - Paddle Clip	94.99	Active		
210000033920-FBA	B0B324KKRR	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman Big Water PDL Kayak		94.99	Active		
210000033921	B0B25RLDDV	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman 106 Powered by Minn Kota Kayak	Don’t get stuck up !%@*!? creek without a paddle! (or a part). The Old Town Sportsman 106 Powered by Minn Kota Replacement Parts Kit contains everything you’ll need to have your Sportsman 106 MK up and fishing no matter what might happen. Keep all of your key replacement parts on hand for when you need it most, the day you want to fish or worse; while on the water. This Old Town Sportsman 106 Powered by Minn Kota Replacement Parts Kit Contains The Following Genuine Old Town Replacement Parts: (1) - MK Propeller Kit (prop, wingnut, washer, and 2 shear pins) (1) - Lock Knob Kit (1) - Rear Skid Plate (1) - Drain Plug (1) - Kill Switch Key (4) - Short Scupper Plugs/Valves (1) - Paddle Strap (1) - Paddle Clip	79.99	Active		
210000033921-FBA	B0B25RLDDV	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman 106 Powered by Minn Kota Kayak		79.99	Active		
210000033922	B0B32Z7BGH	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman Autopilot 120 Kayak and Old Town Sportsman Autopilot 136 Kayak	Don’t get stuck up !%@*!? creek without a paddle! (or a part). The Old Town Sportsman AutoPilot 120/136 Replacement Parts Kit contains everything you’ll need to have your Old Town Sportsman AutoPilot 120/136 up and fishing no matter what might happen. Keep all of your key replacement parts on hand for when you need it most, the day you want to fish or worse; while on the water. This Old Town Sportsman AutoPilot 120/136 Replacement Parts Kit Contains The Following Genuine Old Town Replacement Parts: (1) - MK Propeller Kit (prop, wingnut, washer, and 2 shear pins) (1) - Rear Skid Plate (1) - Drain Plug (1) - Kill Switch Key (4) - Short Scupper Plugs/Valves (1) - Paddle Strap (1) - Paddle Clip	49.99	Active		
210000033922-FBA	B0B32Z7BGH	Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman Autopilot 120 Kayak and Old Town Sportsman Autopilot 136 Kayak		49.99	Active		
210000033923	B0B326WJ83	Black Hall Outfitters Spare Prop Kit Compatible with Old Town Sportsman PDL, Old Town Topwater PDL, Old Town Predator PDL, and Ocean Kayak Malibu PDL Kayaks	Replacement PDL (Pedal) Prop, compatible with all Old Town and Ocean Kayak PDL drives. Swapping your prop on the go or before a long day on the water has never been easier. For use with: Sportsman BigWater PDL, Sportsman Salty PDL, Sportsman PDL, Predator PDL, Topwater PDL and Ocean Kayak Malibu PDL (1) - PDL Replacement Prop (2) - Stainless Steel Shear Pin (1) - Stainless Steel Lock Washer (1) - Plastic Wingnut	34.99	Active	0.0	
210000033923-FBA	B0B326WJ83	Black Hall Outfitters Spare Prop Kit Compatible with Old Town Sportsman PDL, Old Town Topwater PDL, Old Town Predator PDL, and Ocean Kayak Malibu PDL Kayaks		34.99	Active		
210000033924	B0B327TDB2	Black Hall Outfitters Spare Prop Kit Compatible With Old Town Sportsman Powered By Minn Kota, Old Town Sportsman Autopilot 120/136, Old Town Predator MK | Includes Nut, Washer, Propeller, & Shear Pins	The Power Prop is designed for extra power to push through heavy vegetation. This prop is compatible with the 106 Powered by Minn Kota and AutoPilot models. Along with the Power Prop, the kit includes prop pins, lock washer, and a prop nut. For use with: Sportsman 106 PBMK, Sportsman AutoPilot, and Predator MK (1) - MKP-2 Replacement Power Prop (2) - Stainless Steel Shear Pin (1) - Stainless Steel Lock Washer (1) - Plastic Wingnut	34.99	Active		
210000033924-FBA	B0B327TDB2	Black Hall Outfitters Spare Prop Kit Compatible With Old Town Sportsman Powered By Minn Kota, Old Town Sportsman Autopilot 120/136, Old Town Predator MK | Includes Nut, Washer, Propeller, & Shear Pins		34.99	Active		
24912	B09PQHPBM3	Dexter Dextreme 24912 Knife		49.65	Active	49.0	49.99
27100035	B0BYRB9HMK	Hobie Mirage Lynx Sit-On-Top Kayak-Dune		3299	Active		
40007.04.100	B07XD33VKK	NRS Clearwater Kayak Lifejacket (PFD)-Blue-XS/M		127	Active	127.0	127.99
